page_url,image_url,author,title,annotation
https://www.biblio-globus.ru//product/10931075,https://static1.bgshop.ru/imagehandler.ashx?filename=10931075.jpg&width=400, Булгаков М.,Мастер и Маргарита,"Москвичи 1930-х годов и свита дьявола, прокуратор Иудеи Понтий Пилат и философ Иешуа Га-Ноцри, талантливый и сумасшедший мастер и его возлюбленная Маргарита, ставшая ведьмой. Сатира на советское общество, библейский сюжет, бал сатаны. Многоуровневый и многогранный роман Михаила Булгакова уже не одно десятилетие ставит перед читателями вопросы и заставляет иначе взглянуть на самих себя.

«Ну, а колдовству, как известно, стоит только начаться, а там уж его ничем не остановишь».

Для кого эта книга:

Для широкого круга читателей.
Для поклонников классической литературы.
Для тех, кто хочет иметь у себя в библиотеке красивое издание в качественном оформлении.ХарактеристикиМесто издания:МоскваСерия:Вечные историиВысота, см.:21Ширина, см:13,5Толщина, см:2,8Вес в граммах:520Возрастная категория:16+"
https://www.biblio-globus.ru//product/10914195,https://static1.bgshop.ru/imagehandler.ashx?filename=10914195.jpg&width=400, Хаксли О.,О дивный новый мир (замена картинки),"«О дивный новый мир» — изысканная и остроумная антиутопия о генетически программируемом «обществе потребления», в котором разворачивается трагическая история Дикаря — «Гамлета» этого мира.ХарактеристикиМесто издания:МоскваСерия:Эксклюзивная классикаВысота, см.:18Ширина, см:11,7Толщина, см:1,88Вес в граммах:240Возрастная категория:16+"
https://www.biblio-globus.ru//product/10893153,https://static1.bgshop.ru/imagehandler.ashx?filename=10893153.jpg&width=400, Набоков В. В.,Истинная жизнь Севастьяна Найта,"«Истинная жизнь Севастьяна Найта» — первый англоязычный роман Владимира Набокова, оконченный в 1939 году в Париже и два года спустя опубликованный в США. Его лабиринтообразная структура и квазидетективный сюжет предопределили своеобразие последующей прозы Набокова — «Лолиты», «Бледного огня», «Ады» и особенно его последней завершенной книги «Взгляни на арлекинов!». Повествователь, означенный лишь инициалом В., восстанавливает историю жизни собственного сводного брата, покойного писателя Севастьяна Найта (Sebastian Knight), используя воспоминания, устные рассказы и отрывки из его книг. Ускользающая от настойчивых поисков В., истинная жизнь Найта оказывается непосредственно связанной с тайной его имени, с его сочинениями, с законами словесного искусства и с метафизикой Набокова. Настоящее издание романа сопровождается предисловием, примечаниями и заключительным очерком переводчика. Сохранены особенности орфографии, пунктуации и транслитерации переводчика.ХарактеристикиМесто издания:МоскваСерия:Набоковский корпусВысота, см.:20,5Ширина, см:13,5Толщина, см:2,9Вес в граммах:330Возрастная категория:12+"
https://www.biblio-globus.ru//product/10837712,https://static1.bgshop.ru/imagehandler.ashx?filename=10837712.jpg&width=400, Гоголь Н.,Вечера на хуторе близ Диканьки. Миргород. Петербургские повести,"«Все мы вышли из гоголевской „Шинели“, — справедливо говорят русские писатели… » — заметил французский критик Э.-М. де Вогюэ в 1885 году. С этим утверждением и сегодня мало кто не согласится. Каким же образом история об украденной шинели обеспечила Гоголю такое почетное место в литературе? На этот вопрос каждое поколение читателей ищет свой ответ, открывая для себя загадочный, странный, фантастический гоголевский мир. В настоящем издании публикуются три цикла его повестей: «Вечера на хуторе близ Диканьки» (1831–1832) — первый сборник Гоголя, принесший ему славу и с восторгом встреченный А. С. Пушкиным; «Миргород» (1835), ставший органичным продолжением «Вечеров»; а также «Петербургские повести», которые, хоть и не были объединены автором в цикл, но в 1842 году были напечатаны вместе в его собрании сочинений и вошли в историю литературы как одно целое. В издание включены иллюстрации художников XIX — начала ХХ века: П. М. Боклевского, В. М. Васнецова, Д. Н. Кардовского, Б. М. Кустодиева, В. Е. Маковского, П. П.ХарактеристикиДополнительные сведения:Худож. АгинМесто издания:Санкт-ПетербургСерия:Русская литература. Большие книгиВысота, см.:22Ширина, см:15Толщина, см:3,6Вес в граммах:880Возрастная категория:16+"
https://www.biblio-globus.ru//product/11014331,https://static1.bgshop.ru/imagehandler.ashx?filename=11014331.jpg&width=400, Бодлер Ш.,Парижский сплин,"Сборник стихотворений в прозе «Парижский сплин» Шарля Бодлера впервые был опубликован уже посмертно, в 1869 году. Великий поэт продолжает жанровую традицию, уже представленную во французской литературе в творчестве Э. Парни и А. Бертрана.
Это вереница небольших текстов, отражающих авторскую философию Бодлера: «Я, ненасытно алчущее того, что лежит за пределами Я», попытка раскрыть подлинную (темную) сущность человека через его стремление к удовольствию.
Произведения представлены в переводах Л. Гуревич и С. Парнок.ХарактеристикиМесто издания:МоскваСерия:Читальный залВысота, см.:21Ширина, см:13Толщина, см:1Вес в граммах:254Возрастная категория:16+"
https://www.biblio-globus.ru//product/11004798,https://static1.bgshop.ru/imagehandler.ashx?filename=11004798.jpg&width=400, Пушкин А.С.,Стихи и сказки для взрослых.,"В издание вошли стихотворения и сказки А. С. Пушкина, рассчитанные на взрослую читательскую аудиторию. Тексты произведений сопровождают иллюстрации А. С. Пушкина.ХарактеристикиМесто издания:М.Высота, см.:17,4Ширина, см:12,2Толщина, см:1,8Вес в граммах:259"
https://www.biblio-globus.ru//product/11008849,https://static1.bgshop.ru/imagehandler.ashx?filename=11008849.jpg&width=400, Стейнбек Д.,В битве с исходом сомнительным,"1930-е годы. Америка истерзана экономическим кризисом. По заверениям правительства, Великая депрессия осталась позади, однако тысячи людей, лишившихся работы и крова, по-прежнему колесят по стране в поисках любой, пусть даже самой трудной и неблагодарной, работы. Многие рвутся в Калифорнию, где в сезон сбора урожая рабочие руки нарасхват. Однако в разгар сезона работодатели беззастенчиво снижают расценки, пользуясь безвыходным положением сезонных сборщиков фруктов – у тех просто нет денег на обратную дорогу. Возмущенные несправедливостью и постоянными притеснениями рабочие готовят забастовку. Но готовится и другая сторона…ХарактеристикиМесто издания:МоскваСерия:Эксклюзивная классикаВысота, см.:18Ширина, см:11,5Толщина, см:2,925Вес в граммах:237Возрастная категория:16+"
https://www.biblio-globus.ru//product/11013027,https://static1.bgshop.ru/imagehandler.ashx?filename=11013027.jpg&width=400, Гоголь Н.,Вечера на хуторе близ Диканьки,"«Вечера на хуторе близ Диканьки» – без сомнения, литературный шедевр, наполненный уникальной атмосферой, неповторимым остроумием Николая Гоголя, его фантазией. Сколько в этом произведении мистики, колоритного описания быта, сколько любви к родному краю! Писатель обладал редчайшим даром изложения и способностью видеть чудесное в самом на первый взгляд обыкновенном и традиционном. В книгу вошли избранные повести из цикла.ХарактеристикиДополнительные сведения:Худож. ЛаптевМесто издания:МоскваСерия:Классная литератураВысота, см.:21Ширина, см:13Толщина, см:1,3Вес в граммах:273Возрастная категория:0+"
https://www.biblio-globus.ru//product/11013024,https://static1.bgshop.ru/imagehandler.ashx?filename=11013024.jpg&width=400, Тургенев И.,Отцы и дети,"«Отцы и дети» — это социально-психологический роман, в котором отражена извечная тема взаимоотношений поколений.  В этой книге вы найдете не только полный текст произведения, но и вступительную статью, комментарии аспирантки Литературного института имени А. М. Горького, которые помогут вам подготовиться к экзаменам.ХарактеристикиДополнительные сведения:Худож. КлимовицкаяМесто издания:МоскваСерия:Вечная классика в стиле мангиВысота, см.:22Ширина, см:15Толщина, см:1,7Вес в граммах:399Возрастная категория:12+"
https://www.biblio-globus.ru//product/11013023,https://static1.bgshop.ru/imagehandler.ashx?filename=11013023.jpg&width=400, Островский А.,Гроза. Пьесы,"Пьесы Александра Николаевича Островского — выдающиеся произведения русской литературы XIX века, сыгравшие важную роль в становлении национального театра. В этой книге вы найдете не только полный текст произведения, но и вступительную статью, комментарии аспиранта Литературного института имени А. М. Горького, которые помогут вам подготовиться к экзаменам. Издание также содержит QR-код, ведущий к аудиокниге А. Н. Островского «Гроза».ХарактеристикиДополнительные сведения:Худож. БелоусоваМесто издания:МоскваСерия:Вечная классика в стиле мангиВысота, см.:22Ширина, см:15Толщина, см:2Вес в граммах:468Возрастная категория:12+"
https://www.biblio-globus.ru//product/11012946,https://static1.bgshop.ru/imagehandler.ashx?filename=11012946.jpg&width=400, Кавабата Я.,Мэйдзин,"Ясунари Кавабата называл опубликованный в 1951 году «Мэйдзин» своим лучшим произведением. В основу книги легло реальное событие – растянувшаяся на полгода «прощальная партия» великого мэйдзина Хонъимбо Сюсая – мастера игры в го – против подающего надежды молодого оппонента.
О ходе партии пишет журналист, в котором угадывается сам Кавабата, который действительно вел репортажи об игре для газеты «Токио Нити-нити симбун». Он наблюдает за тем, как меняются места проведения партии, как каждый следующий ход занимает все больше времени, как начинает сдавать здоровье пожилого мастера, как молодость постепенно берет верх над опытом, а вековые традиции уступают место научному расчету и прагматизму.
Перевод с японского Анны Слащевой, под научной редакцией Вадима Филиппова, мастера спорта по го, 4-й дан Российской федерации го, и Татьяны Зборовской, продюсера школы Вадима Филиппова.ХарактеристикиМесто издания:МоскваСерия:Эксклюзивная классикаВысота, см.:18Ширина, см:11,7Толщина, см:1,66Вес в граммах:120Возрастная категория:16+"
https://www.biblio-globus.ru//product/11011958,https://static1.bgshop.ru/imagehandler.ashx?filename=11011958.jpg&width=400," Пушкин А.С., худож. Ростова А.А.",Медный всадник. Петербургская повесть.,"В издании представлена поэма А. С. Пушкина «Медный всадник» с замечательными иллюстрациями Анастасии Ростовой.

""Медный всадник"" с иллюстрациями Анастасии Ростовой - это прекрасное издание классической русской литературы, созданное Александром Пушкиным в 1833 году. Поэма рассказывает историю скромного гравера, который переживает трагедию потери любимой в годы голода и наводнений. Его неспособность защитить свою возлюбленную приводит к началу несчастной и тяжкой жизни.
Издание ""Медный всадник"" с иллюстрациями Анастасии Ростовой - это превосходное издание, которое позволит читателю наслаждаться не только текстом произведения, но и прекрасными иллюстрациями, которые точно передают дух и атмосферу поэмы. Работы художницы здесь вкладывают значительный вклад в восприятие и понимание всей истории. Они показывают характеры и настроения героев, раскрывают воображение и углубляются в многообразие эмоций, с которыми они сталкиваются.ХарактеристикиМесто издания:М.Высота, см.:16,6Ширина, см:11,5Толщина, см:0,4Вес в граммах:59"
https://www.biblio-globus.ru//product/11011676,https://static1.bgshop.ru/imagehandler.ashx?filename=11011676.jpg&width=400," <не указано>, Измайлов В.А., Кузнецова Е.А.",Рождественская шкатулка: святочные рассказы русских классиков,"Рождественская литература в России соединяет в себе традиционное христианство и народный фольклор.
Представленный сборник святочных рассказах русских писателей: Алексея Куприна, Ивана Бунина, Аркадия Аверченко, Алексея Толстого, и других, которые читаются уже многими поколениями и создадут настроение уюта домашнего очага, тепла человеческих отношений и Рождественских чудес.

Празднуя Рождество Христово, мы славим Боговоплощение и веру во спасение. В нашей культуре укоренились традиции, связанные с рождественскими днями: елка — символ вечной жизни, которую даровал нам Христос, особая трапеза после длительного поста, посещение близких людей, дарение подарков (в воспоминание о дарах, принесенных волхвами младенцу Христу), проявление милосердия и помощь нуждающимся.
Святочные истории призывают нас к любви и милосердию, к тому, что если каждый поделится частичкой своего душевного тепла с другими, тогда может произойти Рождественское Чудо.ХарактеристикиМесто издания:МоскваСерия:Христианские праздники. Подарочные изданияВысота, см.:20,8Ширина, см:13,6Толщина, см:1,775Вес в граммах:283Возрастная категория:12+"
https://www.biblio-globus.ru//product/11011892,https://static1.bgshop.ru/imagehandler.ashx?filename=11011892.jpg&width=400, Лейкин Н.,Наши за границей,"Николай Александрович Лейкин — в свое время известный петербургский писатель-юморист, журналист, издатель. Его популярность была колоссальной: «эпохой Александра III и писателя Лейкина» назвал конец XIX века поэт А. Блок. Лейкин начал печататься в 1860-х годах, обратив на себя внимание очерками из купеческого быта. С начала 1870-х годов он стал постоянным сотрудником «Петербургской газеты», куда почти ежедневно писал небольшие рассказы-сценки. С 1882 года Лейкин уже издавал собственный журнал — юмористический еженедельник «Осколки», к сотрудничеству в котором привлек молодого Антона Чехова, раскрыв его талант (позднее Чехов назовет Лейкина своим «крестным батькой» в литературе). Книга «Наши за границей» — одно из самых известных произведений Лейкина, только при жизни автора книга выдержала 24 издания! Это веселое повествование о поездке купца Николая Ивановича Иванова и его жены Глафиры Семеновны во Францию — на знаменитую Всемирную выставку в Париже, для которой была построена Эйфелева башня. По дороге героев ждут забавные приключения и всевозможные недоразумения. Лейкинский мягкий юмор по отношению к соотечественникам, отправившимся мир посмотреть и себя показать, и сегодня не утратил актуальности.ХарактеристикиМесто издания:Санкт-ПетербургСерия:Мировая классикаВысота, см.:21Ширина, см:13Толщина, см:3Вес в граммах:354Возрастная категория:16+"
https://www.biblio-globus.ru//product/11011587,https://static1.bgshop.ru/imagehandler.ashx?filename=11011587.jpg&width=400, Ефремов И.,Великая дуга. Путешествие Баурджеда. На краю Ойкумены,"В данное издание вошли его историческая дилогия «Великая Дуга» и одиннадцать чудесных рассказов. «Великая Дуга» связывает воедино стремления и надежды героев двух повестей — мечтателей, товарищей и борцов за свободу. Рассказы сборника повествуют о героях — палеонтологах, геологах, моряках, летчиках, которые преодолевают себя и совершают поражающие воображение открытия. Тексты издания проиллюстрированы проникновенными и выразительными рисунками современной художницы Анастасии Слонь.ХарактеристикиМесто издания:Санкт-ПетербургСерия:Библиотека мировой литературыВысота, см.:25Ширина, см:18Толщина, см:4Вес в граммах:900Возрастная категория:16+"
